"Timestamp","Actual_SupportPhase","Target_SupportPhase"
0.001,0,3
0.002,2,3
0.003,2,3
0.004,2,3
0.005,2,3
0.006,2,3
0.007,2,3
0.008,2,3
0.009,2,3
0.01,2,3
0.011,2,3
0.012,2,3
0.013,2,3
0.014,2,3
0.015,2,3
0.016,2,3
0.017,2,3
0.018,2,3
0.019,2,3
0.02,2,3
0.021,2,3
0.022,2,3
0.023,2,3
0.024,2,3
0.025,2,3
0.026,2,3
0.027,2,3
0.028,2,3
0.029,2,3
0.03,2,3
0.031,2,3
0.032,2,3
0.033,2,3
0.034,2,3
0.035,2,3
0.036,2,3
0.037,2,3
0.038,2,3
0.039,2,3
0.04,2,3
0.041,2,3
0.042,2,3
0.043,2,3
0.044,2,3
0.045,2,3
0.046,2,3
0.047,2,3
0.048,2,3
0.049,3,3
0.05,3,3
0.051,3,3
0.052,3,3
0.053,3,3
0.054,3,3
0.055,3,3
0.056,3,3
0.057,3,3
0.058,3,3
0.059,3,3
0.06,3,3
0.061,3,3
0.062,3,3
0.063,3,3
0.064,3,3
0.065,3,3
0.066,3,3
0.067,3,3
0.068,3,3
0.069,3,3
0.07,3,3
0.071,3,3
0.072,3,3
0.073,3,3
0.074,3,3
0.075,3,3
0.076,3,3
0.077,3,3
0.078,3,3
0.079,3,3
0.08,3,3
0.081,3,3
0.082,1,3
0.083,1,3
0.084,1,3
0.085,1,3
0.086,1,3
0.087,1,3
0.088,1,3
0.089,1,3
0.09,1,3
0.091,1,3
0.092,1,3
0.093,1,3
0.094,1,3
0.095,1,3
0.096,1,3
0.097,1,3
0.098,1,3
0.099,1,3
0.1,1,3
0.101,1,3
0.102,1,3
0.103,1,3
0.104,1,3
0.105,1,3
0.106,1,3
0.107,1,3
0.108,1,3
0.109,1,3
0.11,1,3
0.111,1,3
0.112,1,3
0.113,1,3
0.114,1,3
0.115,1,3
0.116,1,3
0.117,1,3
0.118,1,3
0.119,1,3
0.12,1,3
0.121,3,3
0.122,3,3
0.123,3,3
0.124,3,3
0.125,3,3
0.126,3,3
0.127,3,3
0.128,3,3
0.129,3,3
0.13,3,3
0.131,3,3
0.132,3,3
0.133,3,3
0.134,3,3
0.135,3,3
0.136,3,3
0.137,3,3
0.138,3,3
0.139,3,3
0.14,3,3
0.141,2,3
0.142,2,3
0.143,2,3
0.144,2,3
0.145,2,3
0.146,2,3
0.147,2,3
0.148,2,3
0.149,2,3
0.15,2,3
0.151,2,3
0.152,2,3
0.153,2,3
0.154,2,3
0.155,2,3
0.156,2,3
0.157,2,3
0.158,2,3
0.159,2,3
0.16,2,3
0.161,2,3
0.162,2,3
0.163,2,3
0.164,2,3
0.165,2,3
0.166,2,3
0.167,2,3
0.168,2,3
0.169,2,3
0.17,2,3
0.171,2,3
0.172,2,3
0.173,2,3
0.174,2,3
0.175,2,3
0.176,2,3
0.177,2,3
0.178,2,3
0.179,2,3
0.18,2,3
0.181,2,3
0.182,2,3
0.183,2,3
0.184,2,3
0.185,2,3
0.186,2,3
0.187,2,3
0.188,2,3
0.189,2,3
0.19,2,3
0.191,2,3
0.192,2,3
0.193,2,3
0.194,2,3
0.195,2,3
0.196,2,3
0.197,3,3
0.198,3,3
0.199,3,3
0.2,3,3
0.201,3,3
0.202,3,3
0.203,3,3
0.204,3,3
0.205,3,3
0.206,3,3
0.207,3,3
0.208,3,3
0.209,3,3
0.21,3,3
0.211,3,3
0.212,3,3
0.213,3,3
0.214,3,3
0.215,3,3
0.216,3,3
0.217,3,3
0.218,3,3
0.219,3,3
0.22,3,3
0.221,3,3
0.222,3,3
0.223,3,3
0.224,3,3
0.225,3,3
0.226,3,3
0.227,3,3
0.228,3,3
0.229,3,3
0.23,3,3
0.231,3,3
0.232,3,3
0.233,3,3
0.234,3,3
0.235,3,3
0.236,3,3
0.237,3,3
0.238,3,3
0.239,3,3
0.24,3,3
0.241,3,3
0.242,3,3
0.243,3,3
0.244,3,3
0.245,3,3
0.246,3,3
0.247,3,3
0.248,3,3
0.249,3,3
0.25,3,3
0.251,3,3
0.252,3,3
0.253,3,3
0.254,3,3
0.255,3,3
0.256,3,3
0.257,3,3
0.258,3,3
0.259,3,3
0.26,3,3
0.261,3,3
0.262,3,3
0.263,3,3
0.264,3,3
0.265,3,3
0.266,3,3
0.267,3,3
0.268,3,3
0.269,3,3
0.27,3,3
0.271,3,3
0.272,3,3
0.273,3,3
0.274,3,3
0.275,3,3
0.276,3,3
0.277,3,3
0.278,3,3
0.279,3,3
0.28,3,3
0.281,3,3
0.282,3,3
0.283,3,3
0.284,3,3
0.285,3,3
0.286,3,3
0.287,3,3
0.288,3,3
0.289,3,3
0.29,3,3
0.291,3,3
0.292,3,3
0.293,3,3
0.294,3,3
0.295,3,3
0.296,3,3
0.297,3,3
0.298,3,3
0.299,3,3
0.3,3,3
0.301,3,3
0.302,3,3
0.303,3,3
0.304,3,3
0.305,3,3
0.306,3,3
0.307,3,3
0.308,3,3
0.309,3,3
0.31,3,3
0.311,3,3
0.312,3,3
0.313,3,3
0.314,3,3
0.315,3,3
0.316,3,3
0.317,3,3
0.318,3,3
0.319,3,3
0.32,3,3
0.321,3,3
0.322,3,3
0.323,3,3
0.324,3,3
0.325,3,3
0.326,3,3
0.327,3,3
0.328,3,3
0.329,3,3
0.33,3,3
0.331,3,3
0.332,3,3
0.333,3,3
0.334,3,3
0.335,3,3
0.336,3,3
0.337,3,3
0.338,3,3
0.339,3,3
0.34,3,3
0.341,3,3
0.342,3,3
0.343,3,3
0.344,3,3
0.345,3,3
0.346,3,3
0.347,3,3
0.348,3,3
0.349,3,3
0.35,3,3
0.351,3,3
0.352,3,3
0.353,3,3
0.354,3,3
0.355,3,3
0.356,3,3
0.357,3,3
0.358,3,3
0.359,3,3
0.36,3,3
0.361,3,3
0.362,3,3
0.363,3,3
0.364,3,3
0.365,3,3
0.366,3,3
0.367,3,3
0.368,3,3
0.369,3,3
0.37,3,3
0.371,3,3
0.372,3,3
0.373,3,3
0.374,3,3
0.375,3,3
0.376,3,3
0.377,3,3
0.378,3,3
0.379,3,3
0.38,3,3
0.381,3,3
0.382,3,3
0.383,3,3
0.384,3,3
0.385,3,3
0.386,3,3
0.387,1,3
0.388,1,3
0.389,1,3
0.39,1,3
0.391,1,3
0.392,1,3
0.393,1,3
0.394,1,3
0.395,1,3
0.396,1,3
0.397,1,3
0.398,1,3
0.399,1,3
0.4,1,3
