"Timestamp","Actual_SupportPhase","Target_SupportPhase"
0.001,0,3
0.002,2,3
0.003,2,3
0.004,2,3
0.005,2,3
0.006,2,3
0.007,2,3
0.008,2,3
0.009,2,3
0.01,2,3
0.011,2,3
0.012,2,3
0.013,2,3
0.014,2,3
0.015,2,3
0.016,2,3
0.017,2,3
0.018,2,3
0.019,2,3
0.02,2,3
0.021,2,3
0.022,2,3
0.023,2,3
0.024,2,3
0.025,2,3
0.026,2,3
0.027,2,3
0.028,2,3
0.029,2,3
0.03,2,3
0.031,2,3
0.032,2,3
0.033,2,3
0.034,2,3
0.035,2,3
0.036,2,3
0.037,2,3
0.038,2,3
0.039,2,3
0.04,2,3
0.041,2,3
0.042,0,3
0.043,0,3
0.044,0,3
0.045,0,3
0.046,0,3
0.047,0,3
0.048,0,3
0.049,0,3
0.05,0,3
0.051,0,3
0.052,0,3
0.053,0,3
0.054,0,3
0.055,0,3
0.056,0,3
0.057,0,3
0.058,0,3
0.059,0,3
0.06,0,3
0.061,0,3
0.062,0,3
0.063,0,3
0.064,0,3
0.065,0,3
0.066,0,3
0.067,0,3
0.068,0,3
0.069,0,3
0.07,0,3
0.071,0,3
0.072,0,3
0.073,0,3
0.074,0,3
0.075,0,3
0.076,0,3
0.077,0,3
0.078,0,3
0.079,0,3
0.08,0,3
0.081,0,3
0.082,0,3
0.083,0,3
0.084,0,3
0.085,0,3
0.086,0,3
0.087,2,3
0.088,2,3
0.089,2,3
0.09,2,3
0.091,2,3
0.092,2,3
0.093,2,3
0.094,2,3
0.095,2,3
0.096,2,3
0.097,2,3
0.098,2,3
0.099,2,3
0.1,2,3
0.101,2,3
0.102,2,3
0.103,2,3
0.104,2,3
0.105,2,3
0.106,2,3
0.107,2,3
0.108,2,3
0.109,2,3
0.11,2,3
0.111,2,3
0.112,2,3
0.113,2,3
0.114,2,3
0.115,2,3
0.116,2,3
0.117,2,3
0.118,2,3
0.119,2,3
0.12,2,3
0.121,2,3
0.122,2,3
0.123,2,3
0.124,2,3
0.125,2,3
0.126,2,3
0.127,2,3
0.128,2,3
0.129,2,3
0.13,2,3
0.131,2,3
0.132,2,3
0.133,2,3
0.134,2,3
0.135,2,3
0.136,2,3
0.137,2,3
0.138,2,3
0.139,2,3
0.14,2,3
0.141,2,3
0.142,2,3
0.143,2,3
0.144,2,3
0.145,2,3
0.146,2,3
0.147,2,3
0.148,3,3
0.149,3,3
0.15,3,3
0.151,3,3
0.152,3,3
0.153,3,3
0.154,3,3
0.155,3,3
0.156,3,3
0.157,3,3
0.158,3,3
0.159,3,3
0.16,3,3
0.161,3,3
0.162,3,3
0.163,3,3
0.164,3,3
0.165,3,3
0.166,3,3
0.167,3,3
0.168,3,3
0.169,3,3
0.17,3,3
0.171,3,3
0.172,3,3
0.173,3,3
0.174,3,3
0.175,3,3
0.176,3,3
0.177,3,3
0.178,3,3
0.179,3,3
0.18,3,3
0.181,3,3
0.182,3,3
0.183,3,3
0.184,3,3
0.185,3,3
0.186,3,3
0.187,3,3
0.188,3,3
0.189,3,3
0.19,3,3
0.191,3,3
0.192,3,3
0.193,3,3
0.194,3,3
0.195,3,3
0.196,3,3
0.197,3,3
0.198,3,3
0.199,3,3
0.2,3,3
0.201,3,3
0.202,3,3
0.203,3,3
0.204,3,3
0.205,3,3
0.206,3,3
0.207,3,3
0.208,3,3
0.209,3,3
0.21,3,3
0.211,3,3
0.212,3,3
0.213,3,3
0.214,3,3
0.215,3,3
0.216,3,3
0.217,3,3
0.218,3,3
0.219,3,3
0.22,3,3
0.221,3,3
0.222,3,3
0.223,1,3
0.224,1,3
0.225,1,3
0.226,1,3
0.227,1,3
0.228,1,3
0.229,1,3
0.23,1,3
0.231,1,3
0.232,1,3
0.233,1,3
0.234,1,3
0.235,1,3
0.236,1,3
0.237,1,3
0.238,1,3
0.239,1,3
0.24,1,3
0.241,1,3
0.242,1,3
0.243,1,3
0.244,1,3
0.245,1,3
0.246,1,3
0.247,1,3
0.248,1,3
0.249,1,3
0.25,1,3
0.251,1,3
0.252,1,3
0.253,1,3
0.254,1,3
0.255,1,3
0.256,1,3
0.257,1,3
0.258,1,3
0.259,1,3
0.26,1,3
0.261,1,3
0.262,1,3
0.263,1,3
0.264,1,3
0.265,1,3
0.266,1,3
0.267,1,3
0.268,1,3
0.269,1,3
0.27,1,3
0.271,1,3
0.272,1,3
0.273,1,3
0.274,1,3
0.275,1,3
0.276,1,3
0.277,1,3
0.278,1,3
0.279,1,3
0.28,1,3
0.281,1,3
0.282,1,3
0.283,1,3
0.284,1,3
0.285,1,3
0.286,1,3
0.287,1,3
0.288,1,3
0.289,1,3
0.29,1,3
0.291,1,3
0.292,1,3
0.293,1,3
0.294,1,3
0.295,1,3
0.296,1,3
0.297,1,3
0.298,1,3
0.299,1,3
0.3,1,3
0.301,1,3
0.302,1,3
0.303,1,3
0.304,1,3
0.305,1,3
0.306,1,3
0.307,1,3
0.308,1,3
0.309,1,3
0.31,1,3
0.311,1,3
0.312,1,3
0.313,1,3
0.314,1,3
0.315,1,3
0.316,1,3
0.317,1,3
0.318,1,3
0.319,1,3
0.32,1,3
0.321,1,3
0.322,1,3
0.323,1,3
0.324,1,3
0.325,1,3
0.326,1,3
0.327,1,3
0.328,1,3
0.329,1,3
0.33,1,3
0.331,1,3
0.332,1,3
0.333,1,3
0.334,1,3
0.335,1,3
0.336,1,3
0.337,1,3
0.338,1,3
0.339,1,3
0.34,1,3
0.341,1,3
0.342,1,3
0.343,1,3
0.344,1,3
0.345,1,3
0.346,1,3
0.347,1,3
0.348,1,3
0.349,1,3
0.35,1,3
0.351,1,3
0.352,1,3
0.353,1,3
0.354,1,3
0.355,1,3
0.356,1,3
0.357,1,3
0.358,1,3
0.359,1,3
0.36,1,3
0.361,1,3
0.362,1,3
0.363,1,3
0.364,1,3
0.365,1,3
0.366,1,3
0.367,1,3
0.368,1,3
0.369,1,3
0.37,1,3
0.371,1,3
0.372,1,3
0.373,1,3
0.374,1,3
0.375,1,3
0.376,1,3
0.377,1,3
0.378,1,3
0.379,1,3
0.38,1,3
0.381,1,3
0.382,1,3
0.383,1,3
0.384,1,3
0.385,1,3
0.386,1,3
0.387,1,3
0.388,1,3
0.389,1,3
0.39,3,3
0.391,3,3
0.392,3,3
0.393,3,3
0.394,3,3
0.395,3,3
0.396,3,3
0.397,3,3
0.398,3,3
0.399,3,3
0.4,3,3
